Samples Compared,components=[2],"components=[2, 0]",components=[1],"components=[1, 2]",components=[0],"components=[0, 1]","components=[0, 1, 2]"
Experts Resting vs. Experts Open Monitoring,0.7,0.95,0.98,0.91,1,1,0.98
Experts Resting vs. Experts Compassion,0.47,0.68,0.99,0.81,0.93,0.99,0.87
Experts Open Monitoring vs. Experts Compassion,0.98,1,1,1,1,1,1
Experts Meditating vs. Experts Resting,0.4,0.64,0.95,0.66,0.95,0.97,0.78
Novices Resting vs. Novices Open Monitoring,0.91,0.97,0.98,0.99,0.96,0.99,0.99
Novices Resting vs. Novices Compassion,0.67,0.91,1,0.98,0.99,1,1
Novices Open Monitoring vs. Novices Compassion,0.57,0.83,0.91,0.82,0.97,0.97,0.91
Novices Meditating vs. Novices Resting,0.86,0.96,1,0.99,0.98,1,1
All Resting vs. All Open Monitoring,0.68,0.85,1,0.95,0.96,1,0.98
All Resting vs. All Compassion,0.13,0.38,1,0.49,0.99,1,0.73
All Open Monitoring vs. All Compassion,0.85,0.96,0.92,0.94,0.97,0.98,0.98
All Meditating vs. All Resting,0.23,0.48,1,0.68,0.98,1,0.85
Experts Resting vs. Novices Open Monitoring,0.72,0.38,0.58,0.73,0.07,0.22,0.44
Experts Open Monitoring vs. Novices Resting,0.02,0.022,0.22,0.025,0.34,0.24,0.033
Experts Resting vs. Novices Compassion,0.22,0.32,0.076,0.12,0.58,0.19,0.18
Experts Compassion vs. Novices Resting,0.0049,0.0092,0.61,0.02,0.45,0.57,0.039
Experts Open Monitoring vs. Novices Compassion,0.025,0.05,0.014,0.01,0.45,0.06,0.022
Experts Compassion vs. Novices Open Monitoring,0.19,0.12,0.55,0.23,0.14,0.29,0.17
Experts Resting vs. Novices Resting,0.68,0.56,0.39,0.68,0.3,0.33,0.56
Experts Open Monitoring vs. Novices Open Monitoring,0.079,0.067,0.12,0.06,0.24,0.13,0.058
Experts Compassion vs. Novices Compassion,0.048,0.13,0.5,0.09,0.69,0.62,0.18
Experts All vs. Novices All,0.0001,0.0001,0.0003,0.0001,0.0009,0.0004,0.0001
Experts Resting vs. Novices Meditating,0.42,0.25,0.15,0.27,0.14,0.11,0.19
Experts Meditating vs. Novices Resting,0.0006,0.0004,0.081,0.0012,0.085,0.062,0.001
