Samples Compared,components=[2],"components=[2, 0]",components=[1],"components=[1, 2]",components=[0],"components=[0, 1]","components=[0, 1, 2]"
Experts Resting vs. Experts Open Monitoring,1,1,0.99,0.88,1,1,1
Experts Resting vs. Experts Compassion,0.57,0.78,0.98,0.85,0.94,1,0.93
Experts Open Monitoring vs. Experts Compassion,0.65,0.96,1,0.99,0.99,1,1
Experts Meditating vs. Experts Resting,1,0.89,0.95,0.98,1,1,0.96
Novices Resting vs. Novices Open Monitoring,1,1,1,0.92,1,1,1
Novices Resting vs. Novices Compassion,0.21,1,1,1,1,1,1
Novices Open Monitoring vs. Novices Compassion,1,0.85,0.88,0.87,0.87,0.96,0.81
Novices Meditating vs. Novices Resting,1,0.96,0.99,0.92,1,1,1
All Resting vs. All Open Monitoring,0.84,0.99,0.95,1,1,1,1
All Resting vs. All Compassion,0.033,0.24,0.99,0.38,1,0.94,0.51
All Open Monitoring vs. All Compassion,0.85,0.7,0.64,1,0.99,0.99,0.67
All Meditating vs. All Resting,0.33,1,1,0.97,1,1,1
Experts Resting vs. Novices Open Monitoring,0.75,0.33,0.43,1,4.7e-12,0.16,0.73
Experts Open Monitoring vs. Novices Resting,4.1e-07,0.99,0.25,0.92,0.42,1,0.27
Experts Resting vs. Novices Compassion,0.1,0.2,0.98,0.059,0.42,0.091,0.039
Experts Compassion vs. Novices Resting,0.86,7e-07,0.58,3.4e-05,0.72,1,0.73
Experts Open Monitoring vs. Novices Compassion,9.7e-06,0.013,0.82,0.061,0.93,0.27,6e-09
Experts Compassion vs. Novices Open Monitoring,2.5e-07,3.3e-12,0.066,0.48,0.3,0.0074,1.2e-05
Experts Resting vs. Novices Resting,0.99,0.66,0.99,0.53,0.99,0.44,0.82
Experts Open Monitoring vs. Novices Open Monitoring,0.99,0.19,0.28,0.87,0.34,0.15,0.32
Experts Compassion vs. Novices Compassion,2e-06,0.28,0.87,4.4e-11,0.67,1,0.2
Experts All vs. Novices All,1.9e-06,0,0.23,2e-06,0.011,0,0
Experts Resting vs. Novices Meditating,0.36,0.15,1,1,1,1,0.12
Experts Meditating vs. Novices Resting,0.14,4.8e-12,1.2e-06,3.2e-12,0.71,0.02,0.11
