Samples Compared,components=[2],"components=[2, 0]",components=[1],"components=[1, 2]",components=[0],"components=[0, 1]","components=[0, 1, 2]"
Experts Resting vs. Experts Open Monitoring,0.83,1,0.97,0.95,1,1,1
Experts Resting vs. Experts Compassion,0.63,0.87,0.98,0.87,0.97,0.98,0.94
Experts Open Monitoring vs. Experts Compassion,0.69,0.97,1,0.98,1,1,1
Experts Meditating vs. Experts Resting,0.75,0.96,0.91,0.88,1,0.98,0.96
Novices Resting vs. Novices Open Monitoring,0.96,1,0.94,0.98,1,1,1
Novices Resting vs. Novices Compassion,0.17,0.66,1,0.79,1,1,0.95
Novices Open Monitoring vs. Novices Compassion,0.68,0.87,0.71,0.73,0.93,0.85,0.83
Novices Meditating vs. Novices Resting,0.54,0.94,1,0.96,1,1,1
All Resting vs. All Open Monitoring,0.87,1,0.99,0.97,1,1,1
All Resting vs. All Compassion,0.052,0.17,0.97,0.26,0.87,0.97,0.46
All Open Monitoring vs. All Compassion,0.26,0.64,0.65,0.35,0.98,0.91,0.66
All Meditating vs. All Resting,0.37,0.76,1,0.81,1,1,0.94
Experts Resting vs. Novices Open Monitoring,0.7,0.36,0.33,0.56,0.054,0.15,0.29
Experts Open Monitoring vs. Novices Resting,0.05,0.11,0.34,0.13,0.39,0.32,0.14
Experts Resting vs. Novices Compassion,0.17,0.26,0.079,0.092,0.41,0.13,0.13
Experts Compassion vs. Novices Resting,0.008,0.002,0.55,0.04,0.18,0.26,0.01
Experts Open Monitoring vs. Novices Compassion,0.017,0.11,0.12,0.049,0.78,0.28,0.077
Experts Compassion vs. Novices Open Monitoring,0.022,0.05,0.21,0.073,0.066,0.077,0.065
Experts Resting vs. Novices Resting,0.65,0.66,0.26,0.47,0.59,0.38,0.51
Experts Open Monitoring vs. Novices Open Monitoring,0.18,0.11,0.2,0.14,0.12,0.12,0.13
Experts Compassion vs. Novices Compassion,0.022,0.066,0.85,0.033,0.67,0.82,0.28
Experts All vs. Novices All,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Experts Resting vs. Novices Meditating,0.33,0.16,0.096,0.18,0.013,0.08,0.13
Experts Meditating vs. Novices Resting,0.0001,0.0001,0.01,0.0001,0.018,0.035,0.0001
