Samples Compared,components=[2],"components=[2, 0]",components=[1],"components=[1, 2]",components=[0],"components=[0, 1]","components=[0, 1, 2]"
Experts Resting vs. Experts Open Monitoring,0.69,0.94,0.98,0.92,1,0.99,0.99
Experts Resting vs. Experts Compassion,0.49,0.66,0.99,0.81,0.92,0.99,0.88
Experts Open Monitoring vs. Experts Compassion,0.98,1,1,1,1,1,1
Experts Meditating vs. Experts Resting,0.41,0.65,0.96,0.63,0.95,0.97,0.79
Novices Resting vs. Novices Open Monitoring,0.91,0.96,0.98,0.98,0.97,0.99,0.99
Novices Resting vs. Novices Compassion,0.66,0.92,1,0.99,0.99,1,0.99
Novices Open Monitoring vs. Novices Compassion,0.56,0.85,0.92,0.81,0.97,0.98,0.91
Novices Meditating vs. Novices Resting,0.89,0.95,1,1,0.99,1,1
All Resting vs. All Open Monitoring,0.7,0.88,1,0.95,0.97,1,0.98
All Resting vs. All Compassion,0.13,0.35,1,0.48,0.99,1,0.74
All Open Monitoring vs. All Compassion,0.84,0.96,0.92,0.95,0.97,0.97,0.96
All Meditating vs. All Resting,0.25,0.47,1,0.72,0.97,1,0.83
Experts Resting vs. Novices Open Monitoring,0.7,0.35,0.61,0.74,0.012,0.23,0.42
Experts Open Monitoring vs. Novices Resting,0.031,0.028,0.22,0.039,0.32,0.24,0.037
Experts Resting vs. Novices Compassion,0.24,0.31,0.1,0.13,0.61,0.22,0.19
Experts Compassion vs. Novices Resting,0.012,0.009,0.61,0.017,0.45,0.54,0.016
Experts Open Monitoring vs. Novices Compassion,0.032,0.052,0.026,0.021,0.45,0.088,0.044
Experts Compassion vs. Novices Open Monitoring,0.18,0.11,0.49,0.22,0.16,0.3,0.18
Experts Resting vs. Novices Resting,0.64,0.54,0.4,0.67,0.31,0.36,0.54
Experts Open Monitoring vs. Novices Open Monitoring,0.085,0.057,0.14,0.077,0.27,0.14,0.062
Experts Compassion vs. Novices Compassion,0.059,0.14,0.49,0.094,0.7,0.64,0.17
Experts All vs. Novices All,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Experts Resting vs. Novices Meditating,0.42,0.24,0.15,0.3,0.028,0.1,0.19
Experts Meditating vs. Novices Resting,0.0001,0.0001,0.0001,0.0001,0.096,0.002,0.0001
