Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.1254,0.0105,0.1411,0.0253,0.0109,0.0954,0.022
"Experts Resting vs. Experts Open Monitoring",0.0144,0.0001,0.5959,0.0002,0.0279,0.1888,0.0117
"Experts Open Monitoring vs. Experts Compassion",0.9399,0.632,0.5254,0.8461,0.597,0.8131,0.7764
"Experts Resting vs. Experts Meditating",0.0144,0.0005,0.1294,0.0009,0.0018,0.0294,0.0012
"Novices Resting vs. Novices Compassion",0.0811,0.1024,0.012,0.0722,0.016,0.0155,0.0224
"Novices Resting vs. Novices Open Monitoring",0.0253,0.2885,0.5314,0.0804,0.3979,0.1656,0.1731
"Novices Open Monitoring vs. Novices Compassion",0.1373,0.1067,0.4581,0.0958,0.2148,0.2877,0.1734
"Novices Resting vs. Novices Meditating",0.0253,0.2504,0.1092,0.0762,0.1257,0.0466,0.0625
"Experts Resting vs. Novices Resting",0.3953,0.0501,0.5778,0.1089,0.1481,0.5173,0.1869
"Experts Compassion vs. Novices Compassion",0.6554,0.2122,0.7127,0.3649,0.4144,0.7658,0.5192
"Experts Open Monitoring vs. Novices Open Monitoring",0.3023,0.0639,0.338,0.0937,0.1085,0.304,0.1243
"Experts Meditating vs. Novices Meditating",0.3256,0.0391,0.425,0.0903,0.1141,0.3932,0.143
"Experts All vs. Novices All",0.4718,0.0669,0.6057,0.1493,0.1863,0.5957,0.2529
"Experts Resting vs. Novices Compassion",0.1325,0.0082,0.2478,0.0161,0.0211,0.1735,0.0315
"Experts Resting vs. Novices Open Monitoring",0.0886,0.0251,0.5219,0.0302,0.1126,0.2571,0.0799
"Experts Compassion vs. Novices Resting",0.3128,0.1273,0.4037,0.1634,0.1733,0.3511,0.1847
"Experts Compassion vs. Novices Open Monitoring",0.3769,0.0698,0.8052,0.1316,0.2776,0.6756,0.3044
"Experts Open Monitoring vs. Novices Resting",0.4542,0.0902,0.5739,0.1708,0.2137,0.553,0.2627
"Experts Open Monitoring vs. Novices Compassion",0.3119,0.0641,0.1722,0.1099,0.0759,0.2063,0.1084
"Resting vs. Compassion",0.0128,0.005,0.0062,0.0064,0.0014,0.0028,0.0012
"Resting vs. Open Monitoring",0.0051,0.0471,0.6997,0.0098,0.2526,0.1719,0.0791
"Compassion vs. Open Monitoring",0.2108,0.0935,0.3548,0.1045,0.1489,0.2751,0.1531
"Resting vs. Meditating",0.0027,0.0077,0.0644,0.0023,0.0089,0.0094,0.0026
