Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.1687,0.2652,0.0956,0.1702,0.0955,0.0723,0.0792
"Experts Resting vs. Experts Open Monitoring",0.3927,0.0371,0.2492,0.087,0.1545,0.2509,0.1571
"Experts Open Monitoring vs. Experts Compassion",0.8303,0.5343,0.5088,0.7286,0.5752,0.7135,0.7099
"Experts Resting vs. Experts Meditating",0.1571,0.05,0.0662,0.0565,0.0316,0.0464,0.0285
"Novices Resting vs. Novices Compassion",0.1903,0.6912,0.0991,0.469,0.2286,0.0935,0.1919
"Novices Resting vs. Novices Open Monitoring",0.0328,0.1075,0.2953,0.0386,0.2137,0.1344,0.1151
"Novices Open Monitoring vs. Novices Compassion",0.042,0.0518,0.0508,0.0221,0.0284,0.0265,0.0167
"Novices Resting vs. Novices Meditating",0.0869,0.5631,0.235,0.2786,0.3357,0.1384,0.2279
"Experts Resting vs. Novices Resting",0.3602,0.3402,0.7166,0.3274,0.6712,0.6162,0.5887
"Experts Compassion vs. Novices Compassion",0.7353,0.5622,0.0807,0.6781,0.1454,0.1984,0.2616
"Experts Open Monitoring vs. Novices Open Monitoring",0.3901,0.1283,0.0732,0.1843,0.056,0.0854,0.0641
"Experts Meditating vs. Novices Meditating",0.5148,0.1499,0.0435,0.2638,0.0358,0.0696,0.0684
"Experts All vs. Novices All",0.6186,0.2649,0.0687,0.4075,0.0887,0.1313,0.149
"Experts Resting vs. Novices Compassion",0.5582,0.0652,0.1821,0.166,0.0844,0.2538,0.1463
"Experts Resting vs. Novices Open Monitoring",0.0936,0.4948,0.7425,0.2077,0.6996,0.4295,0.4569
"Experts Compassion vs. Novices Resting",0.6092,0.6527,0.0092,0.6782,0.0394,0.0209,0.0635
"Experts Compassion vs. Novices Open Monitoring",0.308,0.6196,0.2798,0.4801,0.3359,0.2357,0.3198
"Experts Open Monitoring vs. Novices Resting",0.5152,0.2131,0.0184,0.3109,0.0252,0.0317,0.0453
"Experts Open Monitoring vs. Novices Compassion",0.4728,0.0142,0.0222,0.0598,0.0081,0.0452,0.0203
"Resting vs. Compassion",0.2231,0.2494,0.005,0.2037,0.0094,0.0042,0.0126
"Resting vs. Open Monitoring",0.0295,0.1679,0.1415,0.0473,0.1126,0.0727,0.0658
"Compassion vs. Open Monitoring",0.0815,0.0241,0.1464,0.0182,0.0582,0.1051,0.0454
"Resting vs. Meditating",0.1013,0.3263,0.014,0.1812,0.0208,0.0071,0.0156
