Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.0001,0.0261,0.0063,0.0001,0.0034,0.0001,0.0001
"Experts Resting vs. Experts Open Monitoring",0.0023,0.5752,0.0011,0.0023,0.0082,0.0003,0.0005
"Experts Open Monitoring vs. Experts Compassion",0.0583,0.0817,0.1233,0.034,0.0445,0.0295,0.0154
"Experts Resting vs. Experts Meditating",0.0001,0.0905,0.0001,0.0001,0.0014,0.0001,0.0001
"Novices Resting vs. Novices Compassion",0.0001,0.0014,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Resting vs. Novices Open Monitoring",0.0001,0.006,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Open Monitoring vs. Novices Compassion",0.0751,0.1183,0.0673,0.0491,0.0453,0.027,0.0211
"Novices Resting vs. Novices Meditating",0.0001,0.0008,0.0001,0.0001,0.0001,0.0001,0.0001
"Experts Resting vs. Novices Resting",0.3267,0.8503,0.3758,0.6634,0.755,0.376,0.6468
"Experts Compassion vs. Novices Compassion",0.3334,0.5292,0.1172,0.4018,0.2406,0.155,0.2436
"Experts Open Monitoring vs. Novices Open Monitoring",0.4499,0.7418,0.9099,0.6871,0.9418,0.7777,0.8872
"Experts Meditating vs. Novices Meditating",0.6378,0.781,0.8011,0.8599,0.9268,0.8734,0.9508
"Experts All vs. Novices All",0.3173,0.6375,0.9966,0.5118,0.971,0.8076,0.8517
"Experts Resting vs. Novices Compassion",0.0001,0.1235,0.0019,0.0001,0.0052,0.0001,0.0001
"Experts Resting vs. Novices Open Monitoring",0.0001,0.1194,0.0006,0.0001,0.0014,0.0001,0.0001
"Experts Compassion vs. Novices Resting",0.0001,0.0001,0.0115,0.0001,0.0001,0.0001,0.0001
"Experts Compassion vs. Novices Open Monitoring",0.2534,0.091,0.1289,0.1047,0.0627,0.1589,0.0785
"Experts Open Monitoring vs. Novices Resting",0.0042,0.0958,0.0003,0.0023,0.0008,0.0002,0.0002
"Experts Open Monitoring vs. Novices Compassion",0.035,0.2926,0.6619,0.0709,0.5207,0.0624,0.1024
"Resting vs. Compassion",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Resting vs. Open Monitoring",0.0001,0.0034,0.0001,0.0001,0.0001,0.0001,0.0001
"Compassion vs. Open Monitoring",0.0129,0.02,0.0553,0.0052,0.0101,0.0058,0.0029
"Resting vs. Meditating",0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001
