Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.2899,0.0035,0.3735,0.0164,0.0601,0.3349,0.0695
"Experts Resting vs. Experts Open Monitoring",0.449,0.0026,0.8586,0.0047,0.1753,0.8446,0.2044
"Experts Open Monitoring vs. Experts Compassion",0.8647,0.6134,0.6927,0.7957,0.7089,0.8339,0.806
"Experts Resting vs. Experts Meditating",0.2385,0.0009,0.4657,0.002,0.0298,0.3958,0.0312
"Novices Resting vs. Novices Compassion",0.2688,0.1555,0.0452,0.1498,0.0458,0.0654,0.064
"Novices Resting vs. Novices Open Monitoring",0.0626,0.1094,0.7139,0.0613,0.44,0.4312,0.2765
"Novices Open Monitoring vs. Novices Compassion",0.1481,0.0047,0.6952,0.0056,0.1271,0.5665,0.1039
"Novices Resting vs. Novices Meditating",0.0753,0.2816,0.1952,0.1544,0.2009,0.127,0.1389
"Experts Resting vs. Novices Resting",0.6157,0.1088,0.5756,0.2118,0.3514,0.6736,0.4196
"Experts Compassion vs. Novices Compassion",0.7151,0.3637,0.5442,0.5329,0.5123,0.679,0.6042
"Experts Open Monitoring vs. Novices Open Monitoring",0.4541,0.0513,0.2781,0.1143,0.1189,0.3509,0.1656
"Experts Meditating vs. Novices Meditating",0.463,0.1658,0.24,0.2536,0.1875,0.3252,0.2436
"Experts All vs. Novices All",0.5248,0.2682,0.308,0.3501,0.3147,0.4211,0.3745
"Experts Resting vs. Novices Compassion",0.1559,0.007,0.5754,0.0129,0.0896,0.4445,0.0844
"Experts Resting vs. Novices Open Monitoring",0.1314,0.0626,0.6417,0.0624,0.3316,0.432,0.2345
"Experts Compassion vs. Novices Resting",0.55,0.3186,0.2019,0.3917,0.227,0.2939,0.2797
"Experts Compassion vs. Novices Open Monitoring",0.3829,0.1195,0.5801,0.1925,0.3403,0.5354,0.343
"Experts Open Monitoring vs. Novices Resting",0.7525,0.2834,0.3048,0.4554,0.3183,0.4932,0.4356
"Experts Open Monitoring vs. Novices Compassion",0.4073,0.1905,0.23,0.2242,0.2076,0.3103,0.243
"Resting vs. Compassion",0.0574,0.0103,0.0408,0.0091,0.005,0.0245,0.0053
"Resting vs. Open Monitoring",0.0458,0.1126,0.8392,0.0492,0.5423,0.5414,0.3279
"Compassion vs. Open Monitoring",0.1532,0.0418,0.6574,0.0364,0.2677,0.5356,0.211
"Resting vs. Meditating",0.0229,0.0186,0.1931,0.0091,0.0448,0.0846,0.0249
