Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.1501,0.3305,0.0062,0.2233,0.0052,0.0026,0.0042
"Experts Resting vs. Experts Open Monitoring",0.1254,0.0067,0.082,0.0105,0.0275,0.0646,0.0233
"Experts Open Monitoring vs. Experts Compassion",0.1453,0.0273,0.0874,0.0195,0.0344,0.0645,0.031
"Experts Resting vs. Experts Meditating",0.0779,0.0874,0.0045,0.043,0.0033,0.0027,0.0025
"Novices Resting vs. Novices Compassion",0.1764,0.381,0.0003,0.2791,0.0002,0.0002,0.0002
"Novices Resting vs. Novices Open Monitoring",0.0463,0.0966,0.0058,0.0478,0.0049,0.0028,0.0037
"Novices Open Monitoring vs. Novices Compassion",0.2737,0.0144,0.0179,0.0214,0.0035,0.0185,0.006
"Novices Resting vs. Novices Meditating",0.0782,0.5102,0.0006,0.2595,0.0008,0.0001,0.0011
"Experts Resting vs. Novices Resting",0.6842,0.6086,0.6878,0.6821,0.7626,0.7595,0.775
"Experts Compassion vs. Novices Compassion",0.7483,0.4662,0.0028,0.6438,0.0047,0.0072,0.0133
"Experts Open Monitoring vs. Novices Open Monitoring",0.5243,0.0041,0.4657,0.0178,0.0762,0.4948,0.1036
"Experts Meditating vs. Novices Meditating",0.6523,0.0642,0.0522,0.1937,0.0316,0.0976,0.0516
"Experts All vs. Novices All",0.8159,0.1389,0.272,0.3598,0.1943,0.4677,0.3156
"Experts Resting vs. Novices Compassion",0.2241,0.1287,0.0495,0.1138,0.0326,0.0383,0.0289
"Experts Resting vs. Novices Open Monitoring",0.3126,0.2969,0.3494,0.2861,0.2854,0.2754,0.2493
"Experts Compassion vs. Novices Resting",0.3334,0.3976,0.0004,0.3705,0.0006,0.0012,0.0026
"Experts Compassion vs. Novices Open Monitoring",0.392,0.4104,0.1867,0.4226,0.2043,0.1989,0.2213
"Experts Open Monitoring vs. Novices Resting",0.5846,0.013,0.0494,0.0404,0.0165,0.1039,0.0298
"Experts Open Monitoring vs. Novices Compassion",0.2916,0.003,0.0174,0.0088,0.0019,0.0182,0.0031
"Resting vs. Compassion",0.0215,0.0972,0.0001,0.0275,0.0001,0.0001,0.0001
"Resting vs. Open Monitoring",0.0305,0.0393,0.0021,0.0171,0.0013,0.0009,0.0006
"Compassion vs. Open Monitoring",0.052,0.0136,0.047,0.0064,0.0156,0.0238,0.0076
"Resting vs. Meditating",0.0166,0.0976,0.0001,0.0293,0.0001,0.0001,0.0001
