Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.18448155184481552,0.0999900009999,0.0211978802119788,0.0918908109189081,0.011498850114988501,0.022897710228977103,0.0164983501649835
"Experts Resting vs. Experts Open Monitoring",0.7326267373262674,0.0103989601039896,0.058694130586941305,0.09499050094990501,0.0098990100989901,0.11638836116388361,0.027997200279972004
"Experts Open Monitoring vs. Experts Compassion",0.7797220277972203,0.5903409659034097,0.036896310368963105,0.7178282171782822,0.06509349065093491,0.11148885111488852,0.145985401459854
"Experts Resting vs. Experts Meditating",0.3133686631336866,0.014898510148985102,0.0374962503749625,0.0405959404059594,0.007499250074992501,0.051394860513948606,0.013098690130986902
"Novices Resting vs. Novices Compassion",0.20217978202179782,0.5502449755024498,0.00029997000299970003,0.3468653134686531,0.006299370062993701,0.001999800019998,0.008399160083991601
"Novices Resting vs. Novices Open Monitoring",0.19408059194080593,0.011998800119988001,0.16078392160783922,0.024897510248975102,0.03519648035196481,0.1166883311668833,0.0327967203279672
"Novices Open Monitoring vs. Novices Compassion",0.0065993400659934,0.0036996300369963003,0.010998900109989001,0.0004999500049995,0.0013998600139986002,0.0012998700129987,0.00019998000199980003
"Novices Resting vs. Novices Meditating",0.3598640135986401,0.3865613438656134,0.0093990600939906,0.37306269373062695,0.025897410258974102,0.015498450154984501,0.0362963703629637
"Experts Resting vs. Novices Resting",0.6773322667733227,0.19038096190380963,0.6947305269473053,0.33966603339666035,0.43815618438156184,0.7365263473652635,0.5017498250174982
"Experts Compassion vs. Novices Compassion",0.7375262473752625,0.8353164683531646,0.0397960203979602,0.8431156884311569,0.20157984201579843,0.1543845615438456,0.32696730326967305
"Experts Open Monitoring vs. Novices Open Monitoring",0.20857914208579142,0.21657834216578342,0.15278472152784722,0.17468253174682533,0.12058794120587941,0.11068893110688931,0.10978902109789021
"Experts Meditating vs. Novices Meditating",0.5131486851314868,0.39986001399860016,0.03799620037996201,0.43295670432956707,0.09149085091490851,0.103989601039896,0.1466853314668533
"Experts All vs. Novices All",0.508049195080492,0.47055294470552944,0.20217978202179782,0.47295270472952705,0.29627037296270375,0.30116988301169884,0.33766623337666235
"Experts Resting vs. Novices Compassion",0.4096590340965903,0.0372962703729627,0.06969303069693031,0.10068993100689931,0.0244975502449755,0.12988701129887012,0.049295070492950704
"Experts Resting vs. Novices Open Monitoring",0.11918808119188082,0.2568743125687431,0.6947305269473053,0.13158684131586842,0.48655134486551344,0.3678632136786321,0.284971502849715
"Experts Compassion vs. Novices Resting",0.2856714328567143,0.567043295670433,0.0046995300469953,0.38346165383461656,0.022897710228977103,0.007999200079992,0.036396360363963605
"Experts Compassion vs. Novices Open Monitoring",0.102989701029897,0.29117088291170884,0.011698830116988301,0.12968703129687031,0.016698330166983303,0.007699230076992301,0.016998300169983
"Experts Open Monitoring vs. Novices Resting",0.6080391960803919,0.2940705929407059,0.06929307069293071,0.40835916408359163,0.09609039096090391,0.15648435156484353,0.1633836616338366
"Experts Open Monitoring vs. Novices Compassion",0.8363163683631637,0.0741925807419258,0.008399160083991601,0.28457154284571545,0.006099390060993901,0.060193980601939805,0.041695830416958304
"Resting vs. Compassion",0.030996900309969003,0.0668933106689331,9.999000099990002e-05,0.0292970702929707,9.999000099990002e-05,9.999000099990002e-05,0.0004999500049995
"Resting vs. Open Monitoring",0.2268773122687731,0.028897110288971104,0.06919308069193081,0.0400959904009599,0.018098190180981903,0.05679432056794321,0.020597940205979402
"Compassion vs. Open Monitoring",0.07379262073792621,0.0010998900109989002,0.0020997900209979003,0.000999900009999,9.999000099990002e-05,0.0005999400059994001,9.999000099990002e-05
"Resting vs. Meditating",0.07979202079792021,0.13538646135386462,0.0025997400259974,0.07219278072192781,0.0028997100289971,0.0013998600139986002,0.0029997000299970002
