Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.0577,0.1691,0.0558,0.1366,0.0318,0.0571,0.0321
"Experts Resting vs. Experts Open Monitoring",0.5333,0.5709,0.1484,0.5878,0.1809,0.1609,0.1962
"Experts Open Monitoring vs. Experts Compassion",0.8767,0.6534,0.5882,0.6006,0.687,0.6012,0.6703
"Experts Resting vs. Experts Meditating",0.1869,0.4173,0.0163,0.4555,0.0159,0.0179,0.0175
"Novices Resting vs. Novices Compassion",0.0001,0.0738,0.0001,0.0494,0.0002,0.0002,0.0003
"Novices Resting vs. Novices Open Monitoring",0.0091,0.0391,0.0912,0.0331,0.0427,0.0855,0.0435
"Novices Open Monitoring vs. Novices Compassion",0.2143,0.1024,0.0731,0.1371,0.0568,0.0831,0.0664
"Novices Resting vs. Novices Meditating",0.0001,0.0381,0.0015,0.021,0.0011,0.0025,0.0009
"Experts Resting vs. Novices Resting",0.2191,0.5141,0.5711,0.3289,0.6212,0.4968,0.5302
"Experts Compassion vs. Novices Compassion",0.2093,0.8546,0.0656,0.6415,0.1901,0.0572,0.154
"Experts Open Monitoring vs. Novices Open Monitoring",0.3146,0.8535,0.4873,0.7283,0.6431,0.467,0.6066
"Experts Meditating vs. Novices Meditating",0.2528,0.8953,0.0944,0.6512,0.2072,0.0846,0.1834
"Experts All vs. Novices All",0.2567,0.8828,0.3976,0.578,0.6188,0.3406,0.5155
"Experts Resting vs. Novices Compassion",0.1106,0.1656,0.2251,0.087,0.1597,0.1613,0.1222
"Experts Resting vs. Novices Open Monitoring",0.1462,0.3283,0.3532,0.1795,0.3091,0.2864,0.243
"Experts Compassion vs. Novices Resting",0.3562,0.8124,0.0788,0.7116,0.1823,0.0874,0.1863
"Experts Compassion vs. Novices Open Monitoring",0.3002,0.5912,0.1245,0.4872,0.1746,0.1248,0.1661
"Experts Open Monitoring vs. Novices Resting",0.3332,0.5337,0.0655,0.4412,0.1015,0.0677,0.0991
"Experts Open Monitoring vs. Novices Compassion",0.2231,0.5794,0.096,0.4077,0.1641,0.0921,0.1382
"Resting vs. Compassion",0.0004,0.0335,0.0012,0.0298,0.0001,0.0008,0.0003
"Resting vs. Open Monitoring",0.0034,0.0268,0.0199,0.0223,0.0085,0.0183,0.0078
"Compassion vs. Open Monitoring",0.3329,0.0878,0.0563,0.0889,0.0344,0.0661,0.0338
"Resting vs. Meditating",0.0001,0.0328,0.0008,0.0231,0.0001,0.0008,0.0002
