Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.3648,0.0017,0.0181,0.0058,0.0024,0.035,0.0028
"Experts Resting vs. Experts Open Monitoring",0.4471,0.0082,0.0703,0.0192,0.012,0.1014,0.0195
"Experts Open Monitoring vs. Experts Compassion",0.9213,0.3418,0.125,0.6039,0.1756,0.3806,0.3498
"Experts Resting vs. Experts Meditating",0.2601,0.0015,0.0199,0.0044,0.0017,0.0293,0.0034
"Novices Resting vs. Novices Compassion",0.1363,0.0615,0.0001,0.0596,0.0002,0.0002,0.0011
"Novices Resting vs. Novices Open Monitoring",0.2288,0.3629,0.004,0.2798,0.0141,0.0058,0.017
"Novices Open Monitoring vs. Novices Compassion",0.0573,0.0161,0.016,0.0092,0.0029,0.0104,0.0041
"Novices Resting vs. Novices Meditating",0.1552,0.2439,0.0002,0.1657,0.0015,0.0004,0.0017
"Experts Resting vs. Novices Resting",0.7092,0.2972,0.7389,0.4843,0.5754,0.7899,0.6244
"Experts Compassion vs. Novices Compassion",0.9639,0.4126,0.118,0.7841,0.1505,0.3641,0.3582
"Experts Open Monitoring vs. Novices Open Monitoring",0.8762,0.1697,0.7862,0.4204,0.4908,0.8878,0.6386
"Experts Meditating vs. Novices Meditating",0.9363,0.3742,0.1742,0.7265,0.2083,0.4349,0.4131
"Experts All vs. Novices All",0.8674,0.5074,0.4326,0.7345,0.4606,0.6168,0.5976
"Experts Resting vs. Novices Compassion",0.3858,0.0171,0.0174,0.0456,0.0055,0.0361,0.0147
"Experts Resting vs. Novices Open Monitoring",0.3513,0.2349,0.308,0.2512,0.2565,0.2786,0.2359
"Experts Compassion vs. Novices Resting",0.5487,0.1327,0.0075,0.2312,0.0138,0.0247,0.0364
"Experts Compassion vs. Novices Open Monitoring",0.7203,0.1865,0.0641,0.3786,0.0676,0.1547,0.1352
"Experts Open Monitoring vs. Novices Resting",0.6884,0.1661,0.1812,0.2958,0.1454,0.3134,0.2263
"Experts Open Monitoring vs. Novices Compassion",0.7586,0.3318,0.0208,0.5464,0.053,0.0833,0.1188
"Resting vs. Compassion",0.0247,0.002,0.0001,0.0011,0.0001,0.0001,0.0001
"Resting vs. Open Monitoring",0.0575,0.0878,0.0008,0.0404,0.001,0.001,0.0008
"Compassion vs. Open Monitoring",0.0809,0.0635,0.0003,0.0373,0.0007,0.0006,0.0014
"Resting vs. Meditating",0.0253,0.0046,0.0001,0.0032,0.0001,0.0001,0.0001
