Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.1795,0.096,0.0183,0.0855,0.0097,0.0229,0.0172
"Experts Resting vs. Experts Open Monitoring",0.7198,0.0114,0.0525,0.0937,0.0084,0.1175,0.0248
"Experts Open Monitoring vs. Experts Compassion",0.7713,0.5899,0.0373,0.7098,0.0631,0.1039,0.1515
"Experts Resting vs. Experts Meditating",0.3017,0.0128,0.0342,0.0404,0.0054,0.0456,0.0136
"Novices Resting vs. Novices Compassion",0.2107,0.5566,0.0007,0.3423,0.006,0.0014,0.0095
"Novices Resting vs. Novices Open Monitoring",0.1937,0.0152,0.1503,0.0241,0.0325,0.1064,0.0333
"Novices Open Monitoring vs. Novices Compassion",0.0069,0.003,0.0089,0.0001,0.0006,0.0005,0.0002
"Novices Resting vs. Novices Meditating",0.372,0.3846,0.0083,0.3743,0.026,0.017,0.0417
"Experts Resting vs. Novices Resting",0.6671,0.1907,0.6846,0.3413,0.4282,0.7387,0.503
"Experts Compassion vs. Novices Compassion",0.7531,0.8383,0.0359,0.8494,0.1934,0.1495,0.3371
"Experts Open Monitoring vs. Novices Open Monitoring",0.2109,0.2143,0.1379,0.1651,0.1126,0.1041,0.1083
"Experts Meditating vs. Novices Meditating",0.523,0.4031,0.0381,0.4411,0.0862,0.0991,0.1505
"Experts All vs. Novices All",0.5139,0.4821,0.1965,0.4882,0.3059,0.3,0.3406
"Experts Resting vs. Novices Compassion",0.4117,0.035,0.0718,0.0978,0.0213,0.1305,0.0514
"Experts Resting vs. Novices Open Monitoring",0.1187,0.2607,0.6762,0.1282,0.4797,0.3501,0.277
"Experts Compassion vs. Novices Resting",0.2947,0.5549,0.0036,0.3898,0.0215,0.0086,0.033
"Experts Compassion vs. Novices Open Monitoring",0.1029,0.302,0.0121,0.1377,0.0192,0.0072,0.0161
"Experts Open Monitoring vs. Novices Resting",0.5962,0.2999,0.069,0.4025,0.1094,0.152,0.1585
"Experts Open Monitoring vs. Novices Compassion",0.8395,0.0758,0.0097,0.2805,0.0089,0.0645,0.0405
"Resting vs. Compassion",0.0315,0.07,0.0001,0.0274,0.0001,0.0001,0.0002
"Resting vs. Open Monitoring",0.2084,0.0304,0.0581,0.0372,0.0192,0.0531,0.0181
"Compassion vs. Open Monitoring",0.0729,0.0011,0.0011,0.0018,0.0001,0.0009,0.0001
"Resting vs. Meditating",0.0836,0.1253,0.0022,0.0681,0.0025,0.0013,0.0016
