Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.0023,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Experts Resting vs. Experts Open Monitoring",0.0323,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Experts Open Monitoring vs. Experts Compassion",0.0243,0.003,0.1384,0.0033,0.0097,0.0224,0.0047
"Experts Resting vs. Experts Meditating",0.0092,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Resting vs. Novices Compassion",0.0007,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Resting vs. Novices Open Monitoring",0.0011,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Novices Open Monitoring vs. Novices Compassion",0.016,0.0069,0.0005,0.0033,0.0001,0.0009,0.0003
"Novices Resting vs. Novices Meditating",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Experts Resting vs. Novices Resting",0.5976,0.1925,0.938,0.3612,0.7409,0.9362,0.7752
"Experts Compassion vs. Novices Compassion",0.5427,0.1796,0.9635,0.3122,0.7674,0.9417,0.7696
"Experts Open Monitoring vs. Novices Open Monitoring",0.5514,0.2067,0.9633,0.353,0.7887,0.945,0.8045
"Experts Meditating vs. Novices Meditating",0.5366,0.2138,0.9647,0.3512,0.7996,0.9437,0.7941
"Experts All vs. Novices All",0.55,0.2156,0.9632,0.3522,0.7968,0.9446,0.7968
"Experts Resting vs. Novices Compassion",0.4708,0.1243,0.9083,0.2362,0.6372,0.8871,0.6448
"Experts Resting vs. Novices Open Monitoring",0.419,0.0933,0.8855,0.1928,0.5614,0.8562,0.5746
"Experts Compassion vs. Novices Resting",0.4598,0.1277,0.8659,0.2306,0.5877,0.8295,0.5974
"Experts Compassion vs. Novices Open Monitoring",0.3994,0.129,0.931,0.219,0.6518,0.8828,0.6445
"Experts Open Monitoring vs. Novices Resting",0.5763,0.1683,0.8961,0.3283,0.6573,0.8872,0.6981
"Experts Open Monitoring vs. Novices Compassion",0.5842,0.2312,0.9687,0.3879,0.8196,0.9506,0.8234
"Resting vs. Compassion",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Resting vs. Open Monitoring",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Compassion vs. Open Monitoring",0.0007,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
"Resting vs. Meditating",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
