Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.2645,0.475,0.5124,0.3586,0.5642,0.4066,0.4472
"Experts Resting vs. Experts Open Monitoring",0.0825,0.0058,0.8558,0.0076,0.2344,0.5355,0.1507
"Experts Open Monitoring vs. Experts Compassion",0.7456,0.2128,0.3807,0.4431,0.2597,0.5249,0.3804
"Experts Resting vs. Experts Meditating",0.0621,0.0348,0.6561,0.0205,0.2694,0.3145,0.1372
"Novices Resting vs. Novices Compassion",0.1127,0.2658,0.2865,0.1342,0.2496,0.1893,0.1715
"Novices Resting vs. Novices Open Monitoring",0.0092,0.2077,0.3237,0.0283,0.2863,0.1043,0.1063
"Novices Open Monitoring vs. Novices Compassion",0.2719,0.1652,0.972,0.1581,0.8211,0.8816,0.6905
"Novices Resting vs. Novices Meditating",0.0173,0.3972,0.2522,0.0582,0.2641,0.0954,0.1101
"Experts Resting vs. Novices Resting",0.4622,0.2844,0.262,0.3548,0.2248,0.2907,0.2676
"Experts Compassion vs. Novices Compassion",0.9392,0.3119,0.5886,0.7141,0.5092,0.8157,0.721
"Experts Open Monitoring vs. Novices Open Monitoring",0.3364,0.0139,0.6385,0.0363,0.1799,0.5196,0.1798
"Experts Meditating vs. Novices Meditating",0.5699,0.0166,0.6111,0.1054,0.1908,0.6357,0.2565
"Experts All vs. Novices All",0.8044,0.0628,0.3972,0.276,0.1689,0.5642,0.3106
"Experts Resting vs. Novices Compassion",0.2154,0.0717,0.2812,0.0842,0.1436,0.2415,0.149
"Experts Resting vs. Novices Open Monitoring",0.1716,0.0823,0.2327,0.073,0.1227,0.1705,0.1065
"Experts Compassion vs. Novices Resting",0.5367,0.5756,0.3013,0.6116,0.3504,0.3352,0.4015
"Experts Compassion vs. Novices Open Monitoring",0.485,0.1863,0.5442,0.3302,0.3782,0.5316,0.4056
"Experts Open Monitoring vs. Novices Resting",0.7782,0.02,0.816,0.1563,0.3152,0.8913,0.4415
"Experts Open Monitoring vs. Novices Compassion",0.4469,0.0031,0.8701,0.0279,0.1863,0.8009,0.2319
"Resting vs. Compassion",0.0329,0.2082,0.2008,0.0492,0.1695,0.0873,0.0848
"Resting vs. Open Monitoring",0.0242,0.0332,0.5915,0.0149,0.269,0.2386,0.128
"Compassion vs. Open Monitoring",0.1962,0.0465,0.9401,0.0498,0.5403,0.7666,0.4229
"Resting vs. Meditating",0.0107,0.1328,0.272,0.0213,0.1862,0.082,0.0735
